season,round,lapNumber,driverId,position,time
1996,1,9,rosset,17,1:38.531
1996,1,9,lamy,18,2:41.692
1996,1,10,villeneuve,1,1:34.911
1996,1,10,damon_hill,2,1:34.782
1996,1,10,michael_schumacher,3,1:35.088
1996,1,10,irvine,4,1:36.681
1996,1,10,hakkinen,5,1:36.725
1996,1,10,barrichello,6,1:36.697
1996,1,10,berger,7,1:36.813
1996,1,10,salo,8,1:35.645
1996,1,10,frentzen,9,1:37.257
1996,1,10,verstappen,10,1:37.734
1996,1,10,panis,11,1:37.724
1996,1,10,katayama,12,1:37.807
1996,1,10,fisichella,13,1:39.096
1996,1,10,diniz,14,1:39.022
1996,1,10,coulthard,15,1:38.232
1996,1,10,rosset,16,1:38.247
1996,1,10,lamy,17,1:53.845
1996,1,11,villeneuve,1,1:34.290
1996,1,11,damon_hill,2,1:34.544
1996,1,11,michael_schumacher,3,1:34.631
1996,1,11,irvine,4,1:35.669
1996,1,11,hakkinen,5,1:36.565
1996,1,11,barrichello,6,1:36.082
1996,1,11,berger,7,1:36.269
1996,1,11,salo,8,1:35.804
1996,1,11,frentzen,9,1:37.576
1996,1,11,verstappen,10,1:36.908
1996,1,11,panis,11,1:38.352
1996,1,11,katayama,12,1:38.203
1996,1,11,fisichella,13,1:39.024
1996,1,11,diniz,14,1:37.382
1996,1,11,coulthard,15,1:38.339
1996,1,11,rosset,16,1:38.013
1996,1,11,lamy,17,1:43.010
1996,1,12,villeneuve,1,1:35.006
1996,1,12,damon_hill,2,1:34.655
1996,1,12,michael_schumacher,3,1:34.310
1996,1,12,irvine,4,1:35.309
1996,1,12,hakkinen,5,1:36.305
1996,1,12,barrichello,6,1:36.390
1996,1,12,berger,7,1:36.230
1996,1,12,salo,8,1:35.711
1996,1,12,frentzen,9,1:37.689
1996,1,12,verstappen,10,1:37.989
1996,1,12,panis,11,1:37.342
1996,1,12,katayama,12,1:37.810
1996,1,12,fisichella,13,1:38.927
1996,1,12,diniz,14,1:37.846
1996,1,12,coulthard,15,1:37.987
1996,1,12,rosset,16,1:38.326
1996,1,12,lamy,17,1:40.444
1996,1,13,villeneuve,1,1:34.436
1996,1,13,damon_hill,2,1:34.479
1996,1,13,michael_schumacher,3,1:34.389
1996,1,13,irvine,4,1:35.284
1996,1,13,hakkinen,5,1:36.377
1996,1,13,barrichello,6,1:36.303
1996,1,13,berger,7,1:36.270
1996,1,13,salo,8,1:36.451
1996,1,13,frentzen,9,1:36.728
1996,1,13,verstappen,10,1:36.649
1996,1,13,panis,11,1:36.861
1996,1,13,katayama,12,1:37.445
1996,1,13,diniz,13,1:38.461
1996,1,13,fisichella,14,1:40.722
1996,1,13,coulthard,15,1:37.746
1996,1,13,rosset,16,1:37.504
1996,1,13,lamy,17,1:41.822
1996,1,14,villeneuve,1,1:34.166
1996,1,14,damon_hill,2,1:34.308
1996,1,14,michael_schumacher,3,1:34.302
1996,1,14,irvine,4,1:35.590
1996,1,14,hakkinen,5,1:36.321
1996,1,14,barrichello,6,1:36.493
1996,1,14,berger,7,1:36.432
1996,1,14,salo,8,1:36.312
1996,1,14,frentzen,9,1:36.563
1996,1,14,panis,10,1:36.415
1996,1,14,katayama,11,1:38.552
1996,1,14,diniz,12,1:38.807
1996,1,14,fisichella,13,1:38.972
1996,1,14,coulthard,14,1:38.319
1996,1,14,rosset,15,1:38.298
1996,1,14,verstappen,16,2:06.205
1996,1,14,lamy,17,1:40.672
1996,1,15,villeneuve,1,1:34.474
1996,1,15,damon_hill,2,1:34.461
1996,1,15,michael_schumacher,3,1:34.390
1996,1,15,irvine,4,1:35.266
1996,1,15,hakkinen,5,1:36.691
1996,1,15,barrichello,6,1:36.446
1996,1,15,berger,7,1:36.363
1996,1,15,salo,8,1:36.208
1996,1,15,frentzen,9,1:36.417
1996,1,15,panis,10,1:36.181
1996,1,15,katayama,11,1:37.559
1996,1,15,diniz,12,1:37.837
1996,1,15,fisichella,13,1:38.700
1996,1,15,coulthard,14,1:37.981
1996,1,15,rosset,15,1:37.906
1996,1,15,verstappen,16,1:40.040
1996,1,15,lamy,17,1:40.322
1996,1,16,villeneuve,1,1:34.157
1996,1,16,damon_hill,2,1:34.231
1996,1,16,michael_schumacher,3,1:34.223
1996,1,16,irvine,4,1:35.378
1996,1,16,hakkinen,5,1:36.098
1996,1,16,barrichello,6,1:36.181
1996,1,16,berger,7,1:36.325
1996,1,16,frentzen,8,1:36.347
1996,1,16,panis,9,1:35.982
1996,1,16,katayama,10,1:37.203
1996,1,16,salo,11,2:06.238
1996,1,16,diniz,12,1:37.448
1996,1,16,fisichella,13,1:38.775
1996,1,16,coulthard,14,1:38.168
1996,1,16,rosset,15,1:38.162
1996,1,16,lamy,16,1:42.165
1996,1,17,villeneuve,1,1:34.069
1996,1,17,damon_hill,2,1:34.338
1996,1,17,michael_schumacher,3,1:34.617
1996,1,17,irvine,4,1:35.337
1996,1,17,hakkinen,5,1:36.369
1996,1,17,barrichello,6,1:36.370
1996,1,17,berger,7,1:36.230
1996,1,17,frentzen,8,1:35.887
1996,1,17,panis,9,1:36.017
1996,1,17,katayama,10,1:36.847
1996,1,17,diniz,11,1:37.855
1996,1,17,salo,12,1:40.040
1996,1,17,fisichella,13,1:38.998
1996,1,17,coulthard,14,1:39.399
1996,1,17,rosset,15,1:39.723
1996,1,17,lamy,16,1:39.926
1996,1,18,villeneuve,1,1:33.989
1996,1,18,damon_hill,2,1:33.882
1996,1,18,michael_schumacher,3,1:33.651
1996,1,18,irvine,4,1:35.100
1996,1,18,hakkinen,5,1:36.339
1996,1,18,barrichello,6,1:36.301
1996,1,18,berger,7,1:36.292
1996,1,18,frentzen,8,1:35.667
1996,1,18,panis,9,1:35.525
1996,1,18,katayama,10,1:36.416
1996,1,18,diniz,11,1:37.794
1996,1,18,salo,12,1:37.139
1996,1,18,coulthard,13,1:37.989
1996,1,18,rosset,14,1:38.108
1996,1,18,fisichella,15,2:23.043
1996,1,18,lamy,16,1:39.333
1996,1,19,villeneuve,1,1:34.066
1996,1,19,damon_hill,2,1:33.928
1996,1,19,michael_schumacher,3,1:33.771
1996,1,19,irvine,4,1:34.904
1996,1,19,hakkinen,5,1:35.899
1996,1,19,barrichello,6,1:36.106
1996,1,19,berger,7,1:36.186
1996,1,19,frentzen,8,1:35.885
1996,1,19,katayama,9,1:37.067
1996,1,19,panis,10,1:59.345
1996,1,19,diniz,11,1:38.035
1996,1,19,salo,12,1:39.078
1996,1,19,coulthard,13,1:39.476
1996,1,19,rosset,14,1:38.828
1996,1,19,fisichella,15,1:43.746
1996,1,19,lamy,16,1:42.375
1996,1,20,villeneuve,1,1:34.142
1996,1,20,damon_hill,2,1:34.278
1996,1,20,irvine,3,1:35.074
1996,1,20,michael_schumacher,4,2:01.619
1996,1,20,hakkinen,5,1:36.540
1996,1,20,barrichello,6,1:36.305
1996,1,20,berger,7,1:36.408
1996,1,20,katayama,8,1:36.937
1996,1,20,panis,9,1:39.767
1996,1,20,salo,10,1:37.682
1996,1,20,frentzen,11,2:12.864
1996,1,20,coulthard,12,1:39.373
1996,1,20,rosset,13,1:39.713
1996,1,20,diniz,14,2:11.342
1996,1,20,fisichella,15,1:42.178
1996,1,20,lamy,16,1:39.903
1996,1,21,villeneuve,1,1:36.817
1996,1,21,damon_hill,2,1:36.438
1996,1,21,irvine,3,1:36.173
1996,1,21,michael_schumacher,4,1:39.239
1996,1,21,hakkinen,5,1:36.869
1996,1,21,barrichello,6,1:36.761
1996,1,21,berger,7,1:36.734
1996,1,21,katayama,8,1:37.465
1996,1,21,panis,9,1:34.767
1996,1,21,salo,10,1:36.161
1996,1,21,frentzen,11,1:41.874
1996,1,21,coulthard,12,1:38.077
1996,1,21,rosset,13,1:40.725
1996,1,21,diniz,14,1:44.787
1996,1,21,fisichella,15,1:39.998
1996,1,21,lamy,16,1:39.410
1996,1,22,villeneuve,1,1:35.784
1996,1,22,damon_hill,2,1:35.862
1996,1,22,michael_schumacher,3,1:34.742
1996,1,22,hakkinen,4,1:36.393
1996,1,22,barrichello,5,1:36.516
1996,1,22,berger,6,1:36.380
1996,1,22,irvine,7,2:02.417
1996,1,22,katayama,8,1:36.736
1996,1,22,panis,9,1:35.546
1996,1,22,salo,10,1:36.249
1996,1,22,frentzen,11,1:38.367
1996,1,22,coulthard,12,1:41.430
1996,1,22,rosset,13,1:39.412
1996,1,22,diniz,14,1:40.500
1996,1,22,fisichella,15,1:39.907
1996,1,22,lamy,16,1:39.895
1996,1,23,villeneuve,1,1:35.705
1996,1,23,damon_hill,2,1:35.590
1996,1,23,michael_schumacher,3,1:36.444
